t,s_z(t),v_z(t),p_z(t),L(t)
0.3399992,1.915432E-16,3.340815E-16,1.670408E-13,0
0.3409992,1.918773E-16,3.340815E-16,1.670408E-13,0
0.3419991,1.922114E-16,3.340815E-16,1.670408E-13,0
0.3429991,1.925455E-16,3.340815E-16,1.670408E-13,0
0.3439991,1.928795E-16,3.340815E-16,1.670408E-13,0
0.3449991,1.932136E-16,3.340815E-16,1.670408E-13,0
0.3459991,1.935477E-16,3.340815E-16,1.670408E-13,0
0.3469991,1.938818E-16,3.340815E-16,1.670408E-13,0
0.3479991,1.942158E-16,3.340815E-16,1.670408E-13,0
0.3489991,1.945499E-16,3.340815E-16,1.670408E-13,0
0.349999,1.94884E-16,3.340815E-16,1.670408E-13,0
0.350999,1.952181E-16,3.340815E-16,1.670408E-13,0
0.351999,1.955521E-16,3.340815E-16,1.670408E-13,0
0.352999,1.958862E-16,3.340815E-16,1.670408E-13,0
0.353999,1.962203E-16,3.340815E-16,1.670408E-13,0
0.354999,1.965544E-16,3.340815E-16,1.670408E-13,0
0.355999,1.968884E-16,3.340815E-16,1.670408E-13,0
0.356999,1.972225E-16,3.340815E-16,1.670408E-13,0
0.3579989,1.975566E-16,3.340815E-16,1.670408E-13,0
0.3589989,1.978907E-16,3.340815E-16,1.670408E-13,0
0.3599989,1.982247E-16,3.340815E-16,1.670408E-13,0
0.3609989,1.985588E-16,3.340815E-16,1.670408E-13,0
0.3619989,1.988929E-16,3.340815E-16,1.670408E-13,0
0.3629989,1.99227E-16,3.340815E-16,1.670408E-13,0
0.3639989,1.99561E-16,3.340815E-16,1.670408E-13,0
0.3649988,1.998951E-16,3.340815E-16,1.670408E-13,0
0.3659988,2.002292E-16,3.340815E-16,1.670408E-13,0
0.3669988,2.005633E-16,3.340815E-16,1.670408E-13,0
0.3679988,2.008973E-16,3.340815E-16,1.670408E-13,0
0.3689988,2.012314E-16,3.340815E-16,1.670408E-13,0
0.3699988,2.015655E-16,3.340815E-16,1.670408E-13,0
0.3709988,2.018996E-16,3.340815E-16,1.670408E-13,0
0.3719988,2.022336E-16,3.340815E-16,1.670408E-13,0
0.3729987,2.025677E-16,3.340815E-16,1.670408E-13,0
0.3739987,2.029018E-16,3.340815E-16,1.670408E-13,0
0.3749987,2.032359E-16,3.340815E-16,1.670408E-13,0
0.3759987,2.035699E-16,3.340815E-16,1.670408E-13,0
0.3769987,2.03904E-16,3.340815E-16,1.670408E-13,0
0.3779987,2.042381E-16,3.340815E-16,1.670408E-13,0
0.3789987,2.045722E-16,3.340815E-16,1.670408E-13,0
0.3799987,2.049062E-16,3.340815E-16,1.670408E-13,0
0.3809986,2.052403E-16,3.340815E-16,1.670408E-13,0
0.3819986,2.055744E-16,3.340815E-16,1.670408E-13,0
0.3829986,2.059085E-16,3.340815E-16,1.670408E-13,0
0.3839986,2.062425E-16,3.340815E-16,1.670408E-13,0
0.3849986,2.065766E-16,3.340815E-16,1.670408E-13,0
0.3859986,2.069107E-16,3.340815E-16,1.670408E-13,0
0.3869986,2.072448E-16,3.340815E-16,1.670408E-13,0
0.3879986,2.075788E-16,3.340815E-16,1.670408E-13,0
0.3889985,2.079129E-16,3.340815E-16,1.670408E-13,0
0.3899985,2.08247E-16,3.340815E-16,1.670408E-13,0
0.3909985,2.085811E-16,3.340815E-16,1.670408E-13,0
0.3919985,2.089151E-16,3.340815E-16,1.670408E-13,0
0.3929985,2.092492E-16,3.340815E-16,1.670408E-13,0
0.3939985,2.095833E-16,3.340815E-16,1.670408E-13,0
0.3949985,2.099174E-16,3.340815E-16,1.670408E-13,0
0.3959984,2.102514E-16,3.340815E-16,1.670408E-13,0
0.3969984,2.105855E-16,3.340815E-16,1.670408E-13,0
0.3979984,2.109196E-16,3.340815E-16,1.670408E-13,0
0.3989984,2.112537E-16,3.340815E-16,1.670408E-13,0
0.3999984,2.115877E-16,3.340815E-16,1.670408E-13,0
0.4009984,2.119218E-16,3.340815E-16,1.670408E-13,0
0.4019984,2.122559E-16,3.340815E-16,1.670408E-13,0
0.4029984,2.122559E-16,0,0,0
0.4039983,2.122559E-16,0,0,0
0.4049983,2.122559E-16,0,0,0
0.4059983,2.122559E-16,0,0,0
0.4069983,2.122559E-16,0,0,0
0.4079983,2.122559E-16,0,0,0
0.4089983,2.122559E-16,0,0,0
0.4099983,2.122559E-16,0,0,0
0.4109983,2.122559E-16,0,0,0
0.4119982,2.122559E-16,0,0,0
0.4129982,2.122559E-16,0,0,0
0.4139982,2.122559E-16,0,0,0
0.4149982,2.122559E-16,0,0,0
0.4159982,2.122559E-16,0,0,0
0.4169982,2.122559E-16,0,0,0
0.4179982,2.122559E-16,0,0,0
